State,County,Metal Level,Issuer Name,Plan ID (standard component),Plan Marketing Name,Plan Type,Premium Child,Standard Plan Cost Sharing,Medical Deductible-individual-standard,Medical Deductible-family-standard,Medical Maximum Out Of Pocket - individual - standard
NM,BERNALILLO,Gold,"Molina Health Care of New Mexico, Inc.",19722NM0010001,Molina Marketplace Gold Plan,HMO, 118.42 ,,250,500,"6,350"
NM,BERNALILLO,Silver,"Molina Health Care of New Mexico, Inc.",19722NM0010002,Molina Marketplace Silver Plan,HMO, 105.50 ,,"1,700","3,400","6,350"
NM,BERNALILLO,Bronze,"Molina Health Care of New Mexico, Inc.",19722NM0010003,Molina Marketplace Bronze Plan,HMO, 92.81 ,,"4,000","8,000","6,350"
NM,BERNALILLO,Gold,Presbyterian Health Plan,57173NM0120001,Individual Gold Plan A,HMO, 144.57 ,,0,0,"6,350"
NM,BERNALILLO,Gold,Presbyterian Health Plan,57173NM0120002,Individual Gold Plan B,HMO, 152.16 ,,250,500,"6,350"
NM,BERNALILLO,Gold,Presbyterian Health Plan,57173NM0120003,Individual Gold Plan C,HMO, 142.61 ,,"1,000","2,000","6,350"
NM,BERNALILLO,Silver,Presbyterian Health Plan,57173NM0130001,Individual Silver Plan A,HMO, 123.39 ,,250,500,"6,350"
NM,BERNALILLO,Silver,Presbyterian Health Plan,57173NM0130005,Individual Silver Plan B,HMO, 124.86 ,,"1,300","2,600","6,350"
NM,BERNALILLO,Silver,Presbyterian Health Plan,57173NM0130009,Individual Silver Plan C,HMO, 116.91 ,,"2,500","5,000","6,350"
NM,BERNALILLO,Silver,Presbyterian Health Plan,57173NM0130013,Individual Silver Plan D,HMO, 109.56 ,,"5,000","10,000","6,350"
NM,BERNALILLO,Bronze,Presbyterian Health Plan,57173NM0140001,Individual Bronze Plan A,HMO, 98.67 ,,"2,500","5,000","6,350"
NM,BERNALILLO,Bronze,Presbyterian Health Plan,57173NM0140002,Individual Bronze Plan B,HMO, 97.93 ,,"4,000","8,000","6,350"
NM,BERNALILLO,Bronze,Presbyterian Health Plan,57173NM0140003,Individual Bronze Plan C,HMO, 92.91 ,,"6,350","12,700","6,350"
NM,BERNALILLO,Catastrophic,Presbyterian Health Plan,57173NM0150001,Individual Catastrophic Plan,HMO, 66.59 ,,"6,350","12,700","6,350"
NM,BERNALILLO,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330001,Blue PPO Gold 001,PPO, 151.39 ,,"3,250","9,750","3,250"
NM,BERNALILLO,Gold,Blue Cross Blue Shield of New Mexico,75605NM0330002,Blue PPO Gold 002,PPO, 153.72 ,,"1,500","4,500","3,500"
NM,BERNALILLO,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330003,Blue PPO Silver 003,PPO, 127.64 ,,"6,000","12,700","6,000"
NM,BERNALILLO,Silver,Blue Cross Blue Shield of New Mexico,75605NM0330004,Blue PPO Silver 004,PPO, 130.90 ,,"3,000","9,000","6,350"
NM,BERNALILLO,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330005,Blue PPO Bronze 005,PPO, 103.91 ,,"5,000","12,700","6,250"
NM,BERNALILLO,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0330006,Blue PPO Bronze 006,PPO, 103.31 ,,"6,000","12,700","6,000"
NM,BERNALILLO,Catastrophic,Blue Cross Blue Shield of New Mexico,75605NM0330010,Blue Security PPO 010,PPO, 103.64 ,,"6,350","12,700","6,350"
NM,BERNALILLO,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350001,"BCBS Premier 1, MSP 1,000/2,750",PPO, 158.13 ,,"1,000","3,000","2,750"
NM,BERNALILLO,Gold,Blue Cross Blue Shield of New Mexico,75605NM0350002,"BCBS Premier 2, MSP 500/4,000",PPO, 156.39 ,,500,"1,500","4,000"
NM,BERNALILLO,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350003,"BCBS Solution 3, MSP 4,500/6,350",PPO, 128.32 ,,"4,500","12,700","6,350"
NM,BERNALILLO,Silver,Blue Cross Blue Shield of New Mexico,75605NM0350004,"BCBS Solution 4, MSP 6,250/6,250",PPO, 124.86 ,,"6,250","12,700","6,250"
NM,BERNALILLO,Bronze,Blue Cross Blue Shield of New Mexico,75605NM0350005,"BCBS Basic 5, MSP 3,750/6,250",PPO, 106.36 ,,"3,750","11,250","6,250"
NM,BERNALILLO,Gold,Blue Cross Blue Shield of New Mexico,75605NM0370001,Blue Advantage Gold HMO 001,HMO, 126.55 ,,"3,250","9,750","3,250"
NM,BERNALILLO,Gold,Blue Cross Blue Shield of New Mexico,75605NM0370002,Blue Advantage Gold HMO 002,HMO, 128.96 ,,"1,500","4,500","3,500"
NM,BERNALILLO,Silver,Blue Cross Blue Shield of New Mexico,75605NM0370003,Blue Advantage Silver HMO 003,HMO, 106.06 ,,"6,000","12,700","6,000"
